timestamp,kW,kW_scaled
2022-09-01 01:19:30,0.465,13.287671232876717
2022-09-01 01:20:01,0.531,22.328767123287676
2022-09-01 01:20:30,0.47,13.972602739726025
2022-09-01 01:21:01,0.51,19.45205479452055
2022-09-01 01:21:30,0.472,14.24657534246575
2022-09-01 01:22:00,0.51,19.45205479452055
2022-09-01 01:22:31,0.474,14.520547945205477
2022-09-01 01:23:00,0.454,11.780821917808222
2022-09-01 01:23:30,0.474,14.520547945205477
2022-09-01 01:24:01,0.467,13.561643835616444
2022-09-01 01:24:31,0.456,12.054794520547947
2022-09-01 01:25:01,0.544,24.109589041095898
2022-09-01 01:25:31,0.475,14.65753424657534
2022-09-01 01:26:01,0.513,19.86301369863014
2022-09-01 01:26:30,0.462,12.876712328767127
2022-09-01 01:27:00,0.456,12.054794520547947
2022-09-01 01:27:31,0.476,14.794520547945204
2022-09-01 01:28:00,0.488,16.438356164383563
2022-09-01 01:28:30,0.47,13.972602739726025
2022-09-01 01:29:01,0.508,19.178082191780824
2022-09-01 01:29:30,0.469,13.835616438356162
2022-09-01 01:30:01,0.539,23.424657534246585
2022-09-01 01:30:31,0.473,14.383561643835614
2022-09-01 01:31:01,0.497,17.67123287671233
2022-09-01 01:31:30,0.481,15.47945205479452
2022-09-01 01:32:01,0.499,17.945205479452056
2022-09-01 01:32:31,0.469,13.835616438356162
2022-09-01 01:33:01,0.485,16.027397260273972
2022-09-01 01:33:30,0.465,13.287671232876717
2022-09-01 01:34:00,0.505,18.767123287671236
2022-09-01 01:34:31,0.47,13.972602739726025
2022-09-01 01:35:01,0.516,20.27397260273973
2022-09-01 01:35:31,0.472,14.24657534246575
2022-09-01 01:36:00,0.528,21.917808219178088
2022-09-01 01:36:31,0.473,14.383561643835614
2022-09-01 01:37:01,0.512,19.726027397260278
2022-09-01 01:37:30,0.468,13.698630136986306
2022-09-01 01:38:00,0.517,20.41095890410959
2022-09-01 01:38:31,0.466,13.42465753424658
2022-09-01 01:39:00,0.53,22.191780821917817
2022-09-01 01:39:31,0.471,14.109589041095887
2022-09-01 01:40:00,0.515,20.136986301369866
